Win/Loss,Player1 name,Player1 champ name,Player1 overall wr,Player1 total games,Player1 champ games,Player1 champ wr,Player1 kda,Player1 cs,Player1 mastery,Player2 name,Player2 champ name,Player2 overall wr,Player2 total games,Player2 champ games,Player2 champ wr,Player2 kda,Player2 cs,Player2 mastery,Player3 name,Player3 champ name,Player3 overall wr,Player3 total games,Player3 champ games,Player3 champ wr,Player3 kda,Player3 cs,Player3 mastery,Player4 name,Player4 champ name,Player4 overall wr,Player4 total games,Player4 champ games,Player4 champ wr,Player4 kda,Player4 cs,Player4 mastery,Player5 name,Player5 champ name,Player5 overall wr,Player5 total games,Player5 champ games,Player5 champ wr,Player5 kda,Player5 cs,Player5 mastery,Player6 name,Player6 champ name,Player6 overall wr,Player6 total games,Player6 champ games,Player6 champ wr,Player6 kda,Player6 cs,Player6 mastery,Player7 name,Player7 champ name,Player7 overall wr,Player7 total games,Player7 champ games,Player7 champ wr,Player7 kda,Player7 cs,Player7 mastery,Player8 name,Player8 champ name,Player8 overall wr,Player8 total games,Player8 champ games,Player8 champ wr,Player8 kda,Player8 cs,Player8 mastery,Player9 name,Player9 champ name,Player9 overall wr,Player9 total games,Player9 champ games,Player9 champ wr,Player9 kda,Player9 cs,Player9 mastery,Player10 name,Player10 champ name,Player10 overall wr,Player10 total games,Player10 champ games,Player10 champ wr,Player10 kda,Player10 cs,Player10 mastery
win,UWatchedMeDrown,gwen,50,143,1,100,3.0011.0,289,ng,letjencook,nocturne,49,138,1,100,2.008.0,182,ng,ADOBO LORD,sylas,49,196,7,71,2.789.6,161.3,ng,Mr Rogers,draven,58,12,1,100,3.005.0,271,ng,Titin,renata,None,None,None,None,None,0,ng,Sunzee,malphite,17,6,1,0,1.739.0,133,ng,Atros,kayn,46,26,7,29,2.455.7,149.9,ng,xyoloswag420codx,naafiri,50,14,4,50,2.968.3,212.3,ng,Captain Shmungus,ezreal,53,38,12,50,2.577.3,209.8,ng,Jerricho,zilean,59,17,1,0,5.253.0,47,ng
loss,Panzora,fiora,50,402,104,42,1.173.9,191.7,ng,Muderen,hecarim,59,32,11,73,4.878.4,200.5,ng,angelyf,vladimir,51,1434,79,53,2.564.3,182.5,ng,loldrear,draven,54,163,125,60,2.478.7,181.1,ng,MatrixfdNA,pyke,54,223,119,62,2.556.5,25.1,ng,THE BLUE NINJA,shen,49,798,788,50,2.454.3,128.8,ng,DGiTSilky,kindred,53,220,15,60,3.837.6,163.9,ng,pIayboi carti,talon,51,314,102,54,3.049.9,196,ng,Quick Fîx,jinx,56,246,24,54,2.947.0,209.9,ng,Rodgar,soraka,60,152,64,67,3.401.0,12.8,ng
loss,GannicusTTV,shen,49,663,637,50,3.143.8,146.5,ng,FlashpointPrDx,belveth,51,323,81,58,2.858.1,177.5,ng,Shin Ramyun,yone,56,25,5,40,1.442.4,193,ng,Deep,ezreal,56,399,80,54,3.027.1,195,ng,i die,zyra,54,688,428,55,2.903.4,41.3,ng,chrisnam,malphite,51,387,11,73,2.791.9,140.9,ng,MJ23LEESIN,graves,56,181,60,60,2.588.0,199.6,ng,YOASOB1,jayce,49,93,5,40,2.465.4,183.2,ng,X V Z I,draven,50,74,40,55,3.099.8,184.4,ng,Übermensch,nautilus,51,940,63,51,2.662.1,34.2,ng
win,na wo shi shi ba,garen,53,364,14,86,2.306.2,204.9,ng,cenayr,sylas,None,None,None,None,None,0,ng,ResiIience,nunu&willump,55,137,75,55,3.687.7,138.6,ng,Bánh Bèo Sài Gòn,jhin,None,None,None,None,None,0,ng,Xiao Long Xią,bard,None,None,None,None,None,0,ng,Ukraines Cutest ,camille,42,129,9,44,2.168.2,212.8,ng,Xohd,udyr,47,115,16,56,3.346.6,190.4,ng,RoachRoaster420,taliyah,53,140,1,100,Perfect0.0,40,ng,God is Kind,sivir,49,330,23,61,2.815.1,231.2,ng,DoyaZenin,janna,None,None,None,None,None,0,ng
win,GOUZIGOU,lulu,58,118,9,78,3.541.3,14.3,ng,bigbigunderwear,talon,59,29,20,55,2.839.9,190.4,ng,Crazy Lich ,vayne,38,21,8,50,3.066.3,191.6,ng,bie bu kai xin,camille,52,50,13,54,2.768.1,175.9,ng,Houyu Wu,rumble,46,37,3,67,2.188.7,148.3,ng,duyxeom,aatrox,52,107,28,39,2.077.8,183.5,ng,Fluoxetinee,syndra,65,79,3,33,3.331.3,150,ng,Lïmerencë,tristana,39,74,2,0,2.7311.0,165,ng,JustMoo,maokai,48,93,3,67,2.501.7,137.7,ng,looking viet gf,ashe,53,114,3,33,2.226.7,83.3,ng
loss,Hilly,jax,48,193,7,29,1.226.6,179.9,ng,BT Stingray,hecarim,50,1000,644,55,2.458.2,210,ng,Xevel,kassadin,52,422,1,100,2.009.0,211,ng,BrotherInBrother,ezreal,55,340,6,33,3.558.2,216.3,ng,Half dragon soul,xerath,52,223,28,57,3.054.2,49.5,ng,Xisk,kayle,29,14,7,57,1.904.7,181.3,ng,Chiwa,graves,53,327,183,59,3.157.8,210.9,ng,I WILL B HOKAGE,vladimir,52,31,20,50,2.635.8,174.7,ng,RyuShoryu,ashe,51,568,25,60,2.857.6,186.1,ng,Bodyadc,senna,53,780,227,58,2.195.6,29.1,ng
loss,Viper Clutch,rammus,44,41,1,0,2.002.0,80,ng,JG Gap Huge,viktor,58,91,4,50,2.363.8,181.5,ng,Magnus,yone,57,214,23,74,2.366.3,225.7,ng,Life is Sexy,jhin,57,311,4,50,4.003.5,176,ng,Laruin,nautilus,55,47,2,0,1.580.5,34.5,ng,1023º,aatrox,51,144,5,80,1.674.2,115,ng,Smurfing Buck,graves,41,46,6,83,5.336.5,178.8,ng,xX Humble Mid Xx,syndra,49,146,1,0,1.672.0,132,ng,Sup Ez Carry O,kaisa,None,None,None,None,None,0,ng,wo shi chou bi,blitzcrank,50,8,1,0,0.400.0,15,ng
loss,Athèna,riven,51,93,1,100,1.717.0,185,ng,yue se zhen mei,khazix,50,1009,19,63,2.748.4,170.4,ng,vvbb fan boi,sylas,51,360,16,44,1.927.4,170.4,ng,FindIe,jinx,50,278,6,50,2.106.2,167.3,ng,frost acc,janna,51,115,108,52,2.651.2,19.9,ng,fan bing bing,fiora,56,71,2,50,2.446.0,171,ng,Deng Tian Ming,graves,53,276,67,63,5.097.6,211.3,ng,shroomush,zoe,52,122,1,0,2.006.0,168,ng,Ffyamekat,ashe,79,47,1,100,27.0022.0,161,ng,Doubleforge,seraphine,50,466,121,47,3.102.9,107.5,ng
win,ice wizard,yone,61,33,38,71,1.757.6,203,ng,Nananinanère,ivern,50,336,19,58,5.451.5,130.6,ng,Mr Desmond Tiny,cassiopeia,55,87,25,76,2.507.4,209.6,ng,Beyond Control,xayah,51,846,60,48,2.455.4,208,ng,Drektarz,singed,55,94,24,50,2.593.6,166.5,ng,Live ls So Hard,rumble,49,514,466,48,3.266.5,187.3,ng,intra,graves,50,971,37,43,2.606.9,168.4,ng,EudoraJulia,yasuo,52,126,34,53,1.706.6,189.1,ng,Puft,kaisa,57,103,10,60,3.3210.5,193.4,ng,Comprise,lux,52,105,17,47,2.163.0,31.5,ng
loss,Jayjeng,jax,51,96,5,40,0.852.2,164.4,ng,Deadmission,reksai,57,216,6,17,3.238.7,150,ng,Ueqi,ahri,52,133,32,56,3.196.0,189.3,ng,lust6,kalista,66,76,15,67,2.959.4,201.5,ng,nickname1,renata,None,None,None,None,None,0,ng,Brandonian DeRue,yone,48,58,46,52,1.688.0,184.2,ng,basketballallday,amumu,55,252,93,55,2.604.8,121,ng,Lv baby,ekko,52,320,38,58,2.606.3,168.1,ng,Eisuke,varus,50,970,957,50,2.508.9,187.6,ng,Friendly Psycho,velkoz,52,237,48,46,2.634.2,27,ng
loss,yuun,gwen,54,211,3,33,1.312.3,162,ng,yortifan42069,graves,50,232,52,39,3.159.8,194.8,ng,Misbehaving,jayce,50,311,1,0,0.250.0,111,ng,idc will int,draven,53,490,82,49,2.326.7,204.6,ng,DBA for hire,blitzcrank,54,485,84,48,2.322.2,31,ng,OmfgJon,riven,58,78,9,78,2.244.8,179.3,ng,Muryu,udyr,53,719,2,50,1.583.5,128.5,ng,ugroyp,xerath,None_unranked,None_unranked,5,40,1.793.4,98.6,ng,Nedo,kalista,54,221,8,38,1.726.3,134.3,ng,Royal Saintz,morgana,52,715,124,54,2.853.2,38.9,ng
loss,Pluto The First,sion,51,352,335,50,1.783.9,208.3,ng,Gihan,nidalee,55,58,24,71,3.967.5,199.8,ng,Yijianyifeng,yone,52,259,234,54,1.927.0,218.1,ng,LongDong69,varus,56,257,1,0,2.001.0,237,ng,CrazyHooligan,nautilus,59,96,4,50,2.351.5,32.3,ng,PVMAN13,jax,None_unranked,None_unranked,1,100,7.6717.0,185,ng,EntropyWWW,fiddlesticks,54,165,87,61,2.876.5,169.6,ng,sry ad gap,jayce,53,624,50,52,3.306.9,227.6,ng,Yohari,ashe,50,579,16,50,2.694.7,175.6,ng,Kel,janna,53,362,88,50,3.431.4,11.1,ng
loss,never come back,graves,41,235,19,53,3.467.7,219.5,ng,Devil Lucho NA,gragas,49,97,4,50,2.083.8,168.5,ng,Decoys,yasuo,59,56,47,60,3.0210.7,216,ng,Rieve,kaisa,49,732,59,41,2.155.9,206.2,ng,InsrtUsername,soraka,48,695,237,53,4.350.8,12,ng,cute sub uwu,ahri,63,88,1,100,2.719.0,221,ng,FULLMUTEANDCLEAR,udyr,73,59,51,73,5.055.8,194.8,ng,Povertyluma,vladimir,51,598,25,52,2.035.7,222.6,ng,Eisuke,varus,50,970,957,50,2.508.9,187.6,ng,Beware of Minion,neeko,64,88,105,66,3.085.4,43.3,ng
loss,not13,gwen,51,184,9,44,1.243.1,179.1,ng,xué wú zhi jing,singed,54,216,2,50,1.002.0,143,ng,A Wandering Sage,talon,50,480,449,51,2.398.7,169.6,ng,Lxyc,ezreal,62,101,28,68,4.148.3,178,ng,l1ttlefish,renata,None,None,None,None,None,0,ng,Try n Stop Me,poppy,54,100,34,59,2.717.5,187.8,ng,R ı c è,xinzhao,46,113,19,37,2.297.5,158.1,ng,zzyzz,cassiopeia,58,128,99,64,2.596.0,178.2,ng,Michael ZSE,samira,50,595,29,59,2.6810.9,193.6,ng,soobi,nautilus,49,326,6,50,2.421.0,27.3,ng
win,bmxhxbux,yone,65,97,75,68,2.097.5,225.4,ng,fat booty cheeks,nunu&willump,63,100,89,63,2.924.4,145.2,ng,Snów,jayce,69,124,3,67,0.913.3,137.7,ng,Ur Hot Cupcak3,caitlyn,49,406,319,51,2.966.4,193.7,ng,SylasARAM1958,karma,60,107,39,59,4.032.7,23.3,ng,Cheater RecaII,renekton,59,135,5,60,2.384.0,281.6,ng,CactusPlease,kayn,51,469,313,55,3.107.6,186.2,ng,Van TeamWang,sylas,54,296,14,64,3.397.0,155.6,ng,Achraf Hakimi ,xayah,49,79,3,33,2.365.7,130.7,ng,IM THE STRONGEST,nautilus,50,280,14,43,2.321.1,31.8,ng
