Win.Loss,Player1.name,Player1.champ.name,Player1.overall.wr,Player1.total.games,Player1.champ.games,Player1.champ.wr,Player1.cs,Player1.mastery,Player2.name,Player2.champ.name,Player2.overall.wr,Player2.total.games,Player2.champ.games,Player2.champ.wr,Player2.cs,Player2.mastery,Player3.name,Player3.champ.name,Player3.overall.wr,Player3.total.games,Player3.champ.games,Player3.champ.wr,Player3.cs,Player3.mastery,Player4.name,Player4.champ.name,Player4.overall.wr,Player4.total.games,Player4.champ.games,Player4.champ.wr,Player4.cs,Player4.mastery,Player5.name,Player5.champ.name,Player5.overall.wr,Player5.total.games,Player5.champ.games,Player5.champ.wr,Player5.cs,Player5.mastery,Player6.name,Player6.champ.name,Player6.overall.wr,Player6.total.games,Player6.champ.games,Player6.champ.wr,Player6.cs,Player6.mastery,Player7.name,Player7.champ.name,Player7.overall.wr,Player7.total.games,Player7.champ.games,Player7.champ.wr,Player7.cs,Player7.mastery,Player8.name,Player8.champ.name,Player8.overall.wr,Player8.total.games,Player8.champ.games,Player8.champ.wr,Player8.cs,Player8.mastery,Player9.name,Player9.champ.name,Player9.overall.wr,Player9.total.games,Player9.champ.games,Player9.champ.wr,Player9.cs,Player9.mastery,Player10.name,Player10.champ.name,Player10.overall.wr,Player10.total.games,Player10.champ.games,Player10.champ.wr,Player10.cs,Player10.mastery,Player1.kda,Player2.kda,Player3.kda,Player4.kda,Player5.kda,Player6.kda,Player7.kda,Player8.kda,Player9.kda,Player10.kda
loss,rambo52,gragas,61,69,52,65,195.9,0,BBlBBl  ,ivern,59,105,23,57,121.7,0,MrStoners,tristana,54,355,24,54,214,0,Doodi7,kaisa,56,160,11,55,181.4,0,Kaizen SURU,alistar,49,79,8,38,27.8,0,LF BELLEVUE ABG,jayce,52.77,265.88,0,54.01,0,0,S3 DFG AP Trist,maokai,57,208,15,60,138.7,0,Tauarpas,tryndamere,58,106,31,65,221.5,0,Caramel Heaven,vayne,51,611,20,70,189.8,0,chenua,rell,54,271,107,57,32,0,4.1572,3.5425,1.96105,3.1590,1.9610,2.80,2.4033,1.8579,3.1873,3.9015
win,zzlzz,ashe,51,312,1,100,137,0,G2 Yiké,jarvaniv,56,55,1,100,105,0,AnAfroDragon,taliyah,52,240,20,55,176.7,0,SaucyZeek,kaisa,59,118,11,18,233.7,0,trashclowns,zyra,50,246,48,58,51.5,0,SAWAK0,urgot,64,53,5,60,174.8,0,dRJared,belveth,50,107,5,60,154.2,0,bigfatlp,lux,51,472,7,43,148,0,cowvuitton,swain,51,370,272,52,132,0,LovelyConcorde,rakan,56,136,12,33,32.3,0,0.4310,7.0020,2.4662,2.6379,2.7838,2.0068,3.6968,2.6733,2.6545,3.9815
loss,WoodofEphraim,gwen,52,317,6,67,208.2,0,Sccutze,ekko,49,389,303,53,161.2,0,SpikyBuffalo,jayce,56,125,27,59,204.6,0,radishfarmer102,jhin,51,142,1,100,234,0,Catch a Tiger,xerath,46,83,2,50,96.5,0,XL Magnum,renekton,55,124,88,57,214.6,0,SKT T1 0TTO,kayn,49,225,23,44,188.6,0,qwerasdxz,akali,52.77,265.88,0,54.01,0,0,Osmar,vayne,52,634,87,53,171.9,0,Cozy Socks,thresh,69,61,37,78,29.4,0,3.6367,3.3577,3.0668,2.60110,2.8065,2.3853,2.3469,2.80,1.8690,3.9014
win,DungaDiddyKong,urgot,53,121,89,53,208.8,0,Jùly 10,ekko,67,61,7,86,191.6,0,Exxyothermic,katarina,49,478,164,52,164.4,0,Original Jinx,jinx,60,88,4,75,162.3,0,Wind Charmy,seraphine,55,135,32,66,43.5,0,Ronfaure,teemo,49,158,78,53,193.4,0,mommys IiI gamer,graves,46,69,10,50,197,0,Extempted,leblanc,53,310,24,54,148,0,Zekio ,ezreal,49,680,158,49,193.2,0,Gamer Guy,yuumi,48,232,17,47,3.1,0,2.7168,4.38116,2.5083,1.6743,3.9022,2.1037,3.3284,2.5773,2.9258,6.1615
loss,Sond,jax,50,1108,558,53,177.8,0,Occidero,diana,52.77,265.88,0,54.01,0,0,CarriesWarrior,tryndamere,50,115,68,56,209.6,0,How To AKAL1,yasuo,51,143,74,64,169.9,0,Yuune,nautilus,52.77,265.88,0,54.01,0,0,spatted,renekton,51,395,37,41,183.1,0,UncleMoon321,rammus,54,317,5,100,182,0,bony whimsark,orianna,51,521,40,55,188.4,0,Adouphoof,varus,61,79,14,71,198,0,Gigachad Sup,sett,49,547,49,47,38.3,0,2.0358,2.80,1.6174,2.7772,2.80,1.9941,2.9536,2.5144,2.7694,2.1032
loss,Jangeonathew,yone,64,22,5,20,177.4,0,EdmundDDuang,graves,44,63,7,29,192.9,0,i want u,fizz,48,469,302,53,172,0,think of roses,swain,60,202,2,0,184,0,Doubleforge,ivern,50,466,1,0,36,0,Saozhu,ksante,49,325,49,45,152.6,0,Nukez,lillia,50,344,50,66,189.4,0,Tëj,kassadin,53,120,8,63,168.5,0,SirValkyrie,missfortune,51,47,47,49,205.4,0,Gerrard,janna,51,288,13,54,15.8,0,1.8976,2.1256,3.0576,0.9420,1.8010,2.4239,3.8781,2.5261,2.4868,2.1517
win,Worst Darius NA,darius,53,73,11,55,162.2,0,yosano0,evelynn,50,101,4,25,156.5,0,IHasInsides,azir,40,10,9,44,199.3,0,P1atypus,ashe,52,71,8,75,211.3,0,Muppet,alistar,42,66,2,100,23.5,0,KQNK,camille,59,64,47,57,162.6,0,PorcupinePillow,nocturne,49,404,100,50,159.9,0,Caligine,viktor,49,442,2,50,162.5,0,Haerehe,jhin,59,123,49,67,192.9,0,Gwen Stacy,rakan,50,119,47,53,37.5,0,1.9348,2.6368,2.3550,5.8173,6.2905,2.6553,4.2163,1.2830,3.9995,2.2215
win,katarÍnabluu,akali,52,371,9,44,177.1,0,unnnknown,renata,52.77,265.88,0,54.01,0,0,EZIOERIC,amumu,29,14,2,100,115.5,0,huktm,xayah,62,82,7,57,158.1,0,Simplllle,sylas,53,17,8,38,125.5,0,MapleStory Slime,shyvana,51,291,21,62,229.9,0,RAWM3NENJOYER,yone,47,211,170,54,179.2,0,MyNamesBubbles,nilah,47,188,2,50,285.5,0,BlindEyez87,riven,56,70,4,75,237.3,0,full,zyra,52.77,265.88,0,54.01,0,0,1.7663,2.80,5.6025,3.5364,1.5164,1.4251,2.5372,1.88120,2.6098,2.80
win,ilpaffo,darius,58,90,15,40,197.7,0,PorcupinePillow,nocturne,49,404,100,50,159.9,0,JasonLove,akali,49,231,61,61,176.3,0,Darkcam17,lucian,53,333,8,88,214.8,0,king stroker ,zilean,51,172,7,43,24.9,0,look gogo,malphite,49,722,18,39,152.4,0,Kenjhin2041,karthus,51,131,4,50,144.3,0,eck0wns,leesin,52,435,248,54,187.5,0,8TH GATE OPEN,xayah,49,170,6,17,187.8,0,really shocking,rakan,49,749,9,11,26.6,0,2.7375,4.2163,2.64103,3.1864,3.5621,1.7436,2.4745,2.0998,1.3240,2.4011
win,dog woof,irelia,54,435,16,63,193.8,0,Fizz KhaIifa,udyr,64,33,12,58,158.1,0,Lúkey,tristana,67,15,1,100,149,0,zero improvement,ezreal,53,356,128,59,204.2,0,Likable,milio,53,426,1,100,11,0,Jamaican Top,naafiri,56,400,124,59,179.6,0,OSU Haniagra,jarvaniv,50,317,22,41,134.9,0,Sillysiddy,lux,53,510,286,56,195.1,0,alanxfan,xayah,49,236,6,67,182.5,0,Washed Up Gamer,renata,52.77,265.88,0,54.01,0,0,1.5868,3.0052,14.00100,2.6890,3.2000,2.5156,3.3054,3.2266,2.5085,2.80
