Win.Loss,avg_ally_champ_wr,avg_ally_champ_games,avg_ally_total_games,avg_ally_overall_wr,avg_ally_cs,avg_ally_kda,avg_enemy_champ_wr,avg_enemy_champ_games,avg_enemy_total_games,avg_enemy_overall_wr,avg_enemy_cs,avg_enemy_kda
loss,21.2,16.4,130.0,41.8,131.04000000000002,1.51584,51.422000000000004,74.2,137.42000000000002,52.412,127.42,2.5254799999999995
loss,20.6,8.0,106.2,48.2,127.96,1.7031200000000002,60.8,16.0,66.2,53.412,141.64000000000001,2.332198
loss,45.2,18.2,190.8,40.2,108.24000000000001,2.3628,63.6,21.0,92.0,53.6,115.7,2.65066
loss,37.022000000000006,5.4,73.22,42.212,95.14,2.01408,58.2,14.0,178.0,50.8,132.45999999999998,3.6242739999999998
loss,39.8,48.0,138.0,49.8,118.62,2.0444400000000003,63.8,44.4,74.2,50.024,100.76,3.14702
win,53.8,31.0,109.0,50.4,132.51999999999998,2.26736,19.822,17.4,143.42000000000002,48.612,82.67999999999999,1.6327399999999996
loss,50.6,13.6,95.6,47.8,150.71999999999997,2.9235999999999995,61.022000000000006,17.8,95.02000000000001,50.424,114.24000000000001,3.33746
loss,38.4,45.4,94.8,47.412,143.44,2.2517,71.4,24.0,122.6,44.6,152.9,5.182080000000001
win,72.2,53.8,194.2,52.4,137.98000000000002,2.382694,46.6,20.8,166.2,48.0,154.04000000000002,2.1304739999999995
loss,51.84400000000001,28.6,114.84,51.224000000000004,115.84,2.3829800000000003,61.222,26.0,105.02000000000001,48.812,108.51999999999998,3.5403399999999996
loss,13.6,4.8,59.0,50.2,140.72,1.334374,63.4,32.2,108.0,50.4,133.48,3.730004
loss,41.0,27.6,112.0,47.0,113.78,1.5473,62.622,10.4,90.42,50.812,106.38000000000002,4.61558
win,80.6,3.4,26.4,44.212,99.06,4.08806,49.0,38.2,148.0,50.0,138.22,2.524812
win,75.22200000000001,3.2,49.82,53.624,154.0,2.7672600000000003,41.644,19.4,101.64,49.424,58.96,2.22364
loss,55.4,13.0,65.0,50.6,158.89999999999998,2.2072,60.0,47.4,117.2,54.0,143.54000000000002,2.899216
win,81.0,3.6,25.8,51.2,134.07999999999998,4.2701199999999995,20.6,4.4,60.8,49.6,133.45999999999998,1.51918
win,61.6,33.0,101.4,46.2,145.71999999999997,2.17656,30.0,9.6,47.2,50.812,151.94,2.14464
loss,42.4,47.2,100.6,44.0,125.21999999999998,1.5639800000000001,67.2,5.6,62.4,48.224000000000004,173.54000000000002,3.9866060000000005
win,70.8,17.8,101.4,54.4,157.32,3.07976,37.4,12.0,110.0,55.2,161.36,3.2291
loss,35.4,9.0,54.2,46.8,150.61999999999998,2.126992,66.0,32.0,195.4,59.2,161.52,3.9919599999999997
loss,38.2,11.2,27.0,55.612,146.78,2.265654,59.4,17.8,192.4,50.6,156.14000000000001,2.53788
win,55.0,4.2,14.0,56.212,139.34,3.7414840000000007,33.4,9.4,95.4,48.2,129.48,1.98816
win,76.4,14.8,47.8,56.6,137.1,2.45378,32.8,26.0,66.2,48.4,136.28,2.0698600000000003
loss,25.6,6.4,41.0,51.4,141.8,2.3693,68.422,5.4,74.02000000000001,54.012,159.88,3.6605060000000003
win,62.444,23.2,94.03999999999999,53.024,65.2,3.0783440000000004,44.644,3.4,98.24,45.024,80.12,1.7631199999999996
win,61.8,25.2,91.2,52.6,146.32,2.913006,48.6,10.6,45.8,53.8,140.56,2.331484
loss,36.2,40.8,143.6,45.4,148.92000000000002,2.50676,68.0,19.2,125.6,56.8,132.74,2.59412
loss,18.2,69.4,110.6,46.024,83.44,1.29116,45.2,25.0,103.6,51.8,133.92000000000002,2.5035800000000004
win,57.0,40.4,87.0,48.0,138.32,2.50584,27.4,8.8,73.0,51.4,95.18,1.851938
win,55.0,68.0,120.6,53.4,161.82,3.1437,53.8,22.8,75.8,47.6,147.56,1.9036199999999996
loss,28.4,27.8,96.8,42.8,115.75999999999999,1.6943100000000002,67.8,7.2,121.8,53.0,157.4,2.5775200000000003
loss,49.422000000000004,60.0,214.01999999999998,46.812,125.34,2.24132,61.622,12.0,259.62,48.812,95.92,2.4371400000000003
loss,38.6,12.4,80.8,52.6,153.6,2.31256,56.0,6.2,34.6,49.4,155.86,4.11308
win,72.04400000000001,3.2,97.03999999999999,52.824,98.62,3.0195,45.2,46.2,156.6,48.4,145.5,2.6025400000000003
win,71.0,22.6,82.6,51.6,139.68,3.4538259999999994,44.4,15.2,185.6,45.0,116.6,1.9169600000000002
loss,48.0,36.4,87.4,53.4,139.34,2.3548459999999998,60.6,14.0,51.2,53.412,146.1,2.27712
loss,42.4,14.8,101.4,50.4,147.92000000000002,2.0562300000000002,55.2,38.6,130.0,49.4,144.57999999999998,2.782966
loss,23.6,12.0,25.0,42.8,163.2,2.076786,69.2,30.6,146.0,48.6,185.0,1.8950400000000003
win,58.8,18.6,110.8,52.0,125.08,3.31216,32.8,11.2,22.6,44.6,124.28,2.7360599999999997
loss,24.6,5.0,107.6,47.6,142.42000000000002,2.1079800000000004,62.2,28.8,95.6,52.8,163.51999999999998,2.90821
loss,50.465999999999994,71.0,180.46,47.836,36.9,2.4762399999999998,59.8,29.8,104.6,49.2,116.3,2.1308
loss,49.0,27.2,74.8,49.0,159.12,2.37813,72.0,11.2,60.0,45.612,156.58,2.58368
loss,48.2,15.6,207.4,49.4,136.06,1.625,59.2,30.0,178.4,51.8,135.52,2.62592
loss,50.444,3.8,154.64000000000001,46.224000000000004,83.62,2.4870799999999997,50.222,23.8,87.02000000000001,52.812,130.51999999999998,2.5269260000000004
loss,49.044000000000004,26.4,209.24,51.624,92.16,2.26326,58.422000000000004,7.0,125.82000000000001,48.612,129.22,2.27514
win,72.2,8.0,121.6,42.6,131.8,2.20124,19.8,3.0,45.0,42.0,126.08,1.95764
loss,17.8,4.8,57.8,57.4,150.98,2.45958,46.6,55.8,83.6,47.6,131.07999999999998,2.6502
win,49.4,9.8,71.2,55.6,136.64000000000001,4.30572,53.4,2.2,51.0,43.4,133.2,2.2049399999999997
win,61.644000000000005,15.8,187.04000000000002,50.824,96.96,2.79156,49.022000000000006,23.0,202.62,51.812,113.04,2.1055599999999997
loss,44.044,10.8,127.04,46.424,75.24,2.15284,66.2,36.8,180.6,54.2,155.33999999999997,2.03432
