Win.Loss,Player1.name,Player1.champ.name,Player1.overall.wr,Player1.total.games,Player1.champ.games,Player1.champ.wr,Player1.cs,Player1.mastery,Player2.name,Player2.champ.name,Player2.overall.wr,Player2.total.games,Player2.champ.games,Player2.champ.wr,Player2.cs,Player2.mastery,Player3.name,Player3.champ.name,Player3.overall.wr,Player3.total.games,Player3.champ.games,Player3.champ.wr,Player3.cs,Player3.mastery,Player4.name,Player4.champ.name,Player4.overall.wr,Player4.total.games,Player4.champ.games,Player4.champ.wr,Player4.cs,Player4.mastery,Player5.name,Player5.champ.name,Player5.overall.wr,Player5.total.games,Player5.champ.games,Player5.champ.wr,Player5.cs,Player5.mastery,Player6.name,Player6.champ.name,Player6.overall.wr,Player6.total.games,Player6.champ.games,Player6.champ.wr,Player6.cs,Player6.mastery,Player7.name,Player7.champ.name,Player7.overall.wr,Player7.total.games,Player7.champ.games,Player7.champ.wr,Player7.cs,Player7.mastery,Player8.name,Player8.champ.name,Player8.overall.wr,Player8.total.games,Player8.champ.games,Player8.champ.wr,Player8.cs,Player8.mastery,Player9.name,Player9.champ.name,Player9.overall.wr,Player9.total.games,Player9.champ.games,Player9.champ.wr,Player9.cs,Player9.mastery,Player10.name,Player10.champ.name,Player10.overall.wr,Player10.total.games,Player10.champ.games,Player10.champ.wr,Player10.cs,Player10.mastery,Player1.kda,Player2.kda,Player3.kda,Player4.kda,Player5.kda,Player6.kda,Player7.kda,Player8.kda,Player9.kda,Player10.kda
loss,RemÏ,jax,51,234,3,0,132.3,48149,Tienzo,kindred,52,25,1,0,81,45650,IrohsProdigy,malzahar,52,33,2,50,122,123972,30KG Nerd,ezreal,29,31,1,0,83,3589,smolambi,karma,47,55,8,50,31.8,50070,Sccolipede,garen,94,18,2,100,164.5,4159,DamThatRiver,fiddlesticks,51,131,18,67,134.4,31228,LeJohnsonEnjoyer,caitlyn,49,130,5,80,185,36249,NA Humble player,zed,100,7,4,100,153,4391,LionHeart37,yuumi,47,59,12,58,5.9,73211,1.0723,2.5040,2.4020,1.5000,4.4324,6.0050,2.8247,1.8558,3.3383,4.7913
loss,TheePreacher,tahmkench,50,195,4,25,147.8,43711,AngGimockDDi,masteryi,44,27,18,61,164.4,427190,Emprov,sylas,47,319,143,48,147.1,173861,Just Do It 77,jinx,50.06,143.10,0,51.11,0,0,Emo MalphiteKing,lulu,48,281,31,52,10.7,635846,Rengeeze21,udyr,50,175,49,57,202.3,529812,Shyvaña Del Rey,rammus,45,51,2,50,92.5,2257,CrazedIC,graves,59,78,1,100,207,47223,Acui,lucian,77,13,3,100,228,3068,kda brat,nami,73,15,5,80,11.2,6802,3.8683,2.87115,2.0268,2.60,2.5412,2.2978,3.3320,11.0060,5.69180,4.9018
win,Solmamba,garen,58,189,4,75,254,22589,Sapphó,briar,57,156,53,66,188.4,78550,XxPRFectxX,yone,53,105,10,70,225.1,38803,HumzaKAShah,missfortune,53,77,6,33,136.3,33690,TheGreatDorit0,amumu,52,197,3,67,91.3,6864,Yeah Its Small,gangplank,46,83,6,50,230.3,67103,The Boss 4711,jax,45,179,6,67,178.5,125031,Ollebac,yasuo,55,124,38,63,230.2,367149,Dimebag DarreII,ezreal,50,24,11,64,202,222819,Blackout Brunch ,senna,53,212,29,41,29.6,18467,3.7785,2.60128,2.80130,1.1828,1.6120,1.6632,2.7078,2.3573,5.0670,2.5438
win,reasd,tryndamere,63,71,1,100,291,39647,ooniii channnnnn,jarvaniv,83,6,1,100,220,11621,looking 4 noona,orianna,55,69,8,88,193,20202, ThislsntAlex,ashe,57,42,1,100,211,14832,SurfsideGoat,twitch,67,24,3,100,136.7,17577,AyKaizer,shen,18,11,2,50,209.5,21777,Hao Ba,leesin,25,16,2,0,167,94950,leokimchi,ahri,31,13,1,0,187,5795,eggroll89,jinx,33,18,3,33,190.3,142748,ohemji,janna,36,11,2,0,26,134052,2.0040,23.0090,4.4649,4.0070,3.6473,4.7530,2.7395,1.0030,1.8850,1.6005
loss,Yarkan,aatrox,72,25,1,0,119,156,Above Santa,udyr,59,46,1,0,152,2299,killkill,ahri,50,390,1,0,140,61563,XxwatergunxX69,xayah,45,135,56,50,201.9,269735,ArktiKs,brand,50,84,1,0,39,5029,LYT LOVE LN,darius,51,334,61,57,171.6,113358,Tammer,zac,56,215,1,100,145,15179,CricketCrackit,ziggs,53,62,12,42,231.2,51761,Pokopo,jhin,47,139,1,100,161,10726,foryounotme,leona,48,125,3,100,42.7,2925,1.3850,1.8360,1.0040,2.0866,1.5020,2.0078,3.7530,3.0033,5.20190,6.5030
win,Demon of Arkana,veigar,44,116,25,56,162.4,319539,DawnbreakerVT,jax,51,148,5,100,199.8,52702,SmokeSpirit,jayce,40,55,38,47,187.6,28290,DolphinEmulator,missfortune,52,119,62,57,190,816282,TurianGarus,nami,50.06,0,4,25,14.8,1345313,Polnaya Zhopa,malphite,56,36,6,50,211.2,26357,Dr Toboggan Phd,warwick,33,6,1,0,179,9711,mr jeff 21,yasuo,50,398,159,54,227.6,320363,gertrude bugsby,caitlyn,54,433,72,57,194.1,112951,Planktonhammer,maokai,52,411,12,50,129.5,13492,2.6086,2.7284,2.9487,3.4080,5.0815,3.2245,1.8680,2.1454,2.4953,2.9435
loss,1111211331,garen,57,116,8,38,206.1,7184,Cheesycheese,diana,55,47,4,50,202,28106,Hinders,leesin,86,14,10,90,159.1,20766,pyde,kaisa,51,286,12,42,182.3,372684,fuzzy duggo,thresh,70,43,28,64,33.6,663181,Perma Fight Top,gwen,50.06,143.10,0,51.11,0,0,Ostogon,wukong,47,300,202,51,175.6,921424,Inc,yone,51,202,121,54,202.9,218276,A Lone Traveler,zeri,52,322,68,60,206.5,147805,Shriayukae,yuumi,54,184,10,70,4.1,68301,2.8169,2.9078,6.76168,1.9071,3.5522,2.60,2.7866,1.8881,3.7960,6.9615
win,GlizzyGlad1235,yone,54,142,5,60,242,92848,Zephye,nidalee,45,20,22,46,182.3,850295,CrystalTora,anivia,51,371,11,82,153.5,37080,int ƒor fun,vayne,45,38,4,75,224.8,22038,AcerSteel,lux,56,68,2,100,76.5,139995,Michaelcoolguy,warwick,47,129,18,56,134,103823,DAOFLO,kayn,51,427,107,51,176.2,822259,Rem Wake Up,zed,50,8,7,57,199.6,55171,RajaBoy,jhin,48,119,6,33,165.2,106812,XxKillerBeexX,poppy,37,52,1,0,50,23645,1.85122,3.7276,3.9561,2.61135,3.5755,2.04107,2.7666,2.1881,2.3473,1.6050
loss,GIVEMEDATLP,riven,43,96,25,48,193.4,46490,CAST1GADOR,masteryi,54,71,24,58,159.8,221084,AWOLNATION,akshan,50,245,132,52,181.1,281935,PeekaBoo Jones,jhin,62,13,2,50,191,56835,Gemmy Jewels,brand,51,67,1,0,105,70460,24 Form,shen,51,366,348,52,129.4,4255067,NotMikolaj,khazix,44,82,6,67,119.5,79903,The Dirty,ahri,44,81,10,30,121.1,102457,Sedrazo,kaisa,45,218,24,46,218.3,50724,theflash311,blitzcrank,46,85,4,25,44.5,112546,1.6154,1.9285,2.1379,1.9580,0.5920,3.1738,2.0785,2.3491,2.4482,3.5043
loss,SnowBae,irelia,52,62,53,47,203.7,43128,Bò Con Si Tình,leesin,54,54,8,63,167.8,21506,Mint Ng,zed,51,278,45,49,189.4,208390,the mone,vayne,13,8,2,0,100,1552,DECaptainMorghan,karma,52,170,10,60,21.4,0,Kennchu,shen,50,400,1,100,152,1972,HA HA HE HU,masteryi,52,241,41,56,179.1,105842,phatbooddha,anivia,51,86,2,100,191,73533,Rangers Focus,seraphine,48,130,25,52,155.1,52446,Opppaa,senna,50,195,26,46,25.2,133722,1.4367,3.30131,2.1096,0.4210,3.5428,3.33100,2.6791,6.8695,3.3449,2.9246
