Win.Loss,Player1.name,Player1.champ.name,Player1.overall.wr,Player1.total.games,Player1.champ.games,Player1.champ.wr,Player1.cs,Player1.mastery,Player2.name,Player2.champ.name,Player2.overall.wr,Player2.total.games,Player2.champ.games,Player2.champ.wr,Player2.cs,Player2.mastery,Player3.name,Player3.champ.name,Player3.overall.wr,Player3.total.games,Player3.champ.games,Player3.champ.wr,Player3.cs,Player3.mastery,Player4.name,Player4.champ.name,Player4.overall.wr,Player4.total.games,Player4.champ.games,Player4.champ.wr,Player4.cs,Player4.mastery,Player5.name,Player5.champ.name,Player5.overall.wr,Player5.total.games,Player5.champ.games,Player5.champ.wr,Player5.cs,Player5.mastery,Player6.name,Player6.champ.name,Player6.overall.wr,Player6.total.games,Player6.champ.games,Player6.champ.wr,Player6.cs,Player6.mastery,Player7.name,Player7.champ.name,Player7.overall.wr,Player7.total.games,Player7.champ.games,Player7.champ.wr,Player7.cs,Player7.mastery,Player8.name,Player8.champ.name,Player8.overall.wr,Player8.total.games,Player8.champ.games,Player8.champ.wr,Player8.cs,Player8.mastery,Player9.name,Player9.champ.name,Player9.overall.wr,Player9.total.games,Player9.champ.games,Player9.champ.wr,Player9.cs,Player9.mastery,Player10.name,Player10.champ.name,Player10.overall.wr,Player10.total.games,Player10.champ.games,Player10.champ.wr,Player10.cs,Player10.mastery,Player1.kda,Player2.kda,Player3.kda,Player4.kda,Player5.kda,Player6.kda,Player7.kda,Player8.kda,Player9.kda,Player10.kda
win,Sand Titan,renekton,57,79,58,62,206.4,145377,1234 i just 1v5,hecarim,75,32,29,76,202.2,97719,StoneyDogTv,gragas,53,334,201,54,186.7,193760,BirdDoesNotTalk,ezreal,50,6,1,100,156,2201,BirdOfBastion,lux,47,43,2,100,23.5,14548,L ý t è ,aatrox,57,42,30,67,174.9,26655,ecua7,briar,52,234,26,58,180.2,19172,NeaaR,fizz,58,43,14,43,161.8,7976,name is in usa,caitlyn,51,241,35,60,177.6,54587,Housing Market,blitzcrank,46,223,50,60,29.1,34732,2.3164,6.55105,2.4162,5.0070,5.2040,2.6880,2.59102,2.35103,3.1569,1.9123
win,Astraud,sion,55,83,1,100,233,15929,Hiemmira,lillia,43,47,2,100,182.5,5815,deshi,zoe,59,17,14,71,158.6,144373,valyndra,ashe,100,8,2,100,172.5,4158,Parmesan Johnson,braum,61,79,11,64,33.4,57948,ftqvv,camille,50.72,139.16,0,51.75,0,0,BOOM ShakaaLaKaa,briar,55,213,19,63,154.4,12704,3imoor,katarina,50.72,139.16,0,51.75,0,0,GankMe2Win,xayah,50.72,139.16,0,51.75,0,0,3repiv,zyra,51,143,2,50,59.5,35559,1.0940,1.9365,3.3377,3.31185,4.3016,2.64,2.3587,2.64,2.64,3.2050
win,Fabo7,teemo,55,307,1,100,175,27416,NooPzZBrian,shyvana,52,111,13,77,181.5,11264,Carme7o Anthony,galio,46,56,18,50,141.9,309966,Avenefrek,missfortune,56,63,8,38,159.8,58713,Prairie Dog,thresh,49,87,14,50,39.2,105995,Yung Degar,trundle,50.72,139.16,0,51.75,0,0,TheArtillery,udyr,47,224,1,0,144,45370,amoomew,vladimir,42,36,17,53,178.7,127258,Polvoron,vayne,43,116,28,54,199.2,29470,Bubble Milk,lux,50,206,76,47,48.6,1151628,3.00120,3.46113,2.3841,2.5656,2.6331,2.64,0.6000,2.4593,1.9159,3.2045
win,Duo with Iso,nasus,59,156,111,65,173.5,399171,justadcdif,vi,52,144,2,50,143,35663,Somebodys Hooker,vex,50,342,16,44,177.4,57026,PíercíngLíght,lucian,50.72,0,1,100,143,193914,Grizzle GG,zac,50,105,94,51,61.4,622766,power mess,gwen,51,120,5,80,236.2,58349,Perks n Hydros,lillia,49,83,23,57,164.1,16158,SilviyaZed,zed,52,413,114,50,191.1,674425,Kusakup,jhin,40,55,3,67,134.3,79654,Redstone1230,thresh,50,311,16,38,40.9,102906,3.7959,1.6450,2.09113,3.7550,3.5339,3.45128,2.1657,2.1382,2.1243,2.1731
loss,PoorMeOMG,camille,44,9,1,0,123,57374,SUPERNUTT,karthus,48,77,1,0,225,9197,Sea of Soju,yone,43,7,4,0,185.5,302247,keybioshock,jhin,62,79,11,36,209.5,542052,teakitties,zyra,38,13,6,33,50.8,111067,TentaCulona,illaoi,52,31,6,100,194.2,120133,Roleakim,chogath,53,70,191,56,138.3,2889793,Girlfríend,lucian,64,14,6,83,234.2,358416,kittiytitty,seraphine,50,16,8,50,158.1,56728,Littlest Kitten,swain,60,15,13,62,59.6,1451055,0.6410,2.33170,1.3945,2.4276,1.5323,2.7077,1.6770,2.8288,3.6851,3.7782
win,Jibini Jibini,briar,51,39,1,100,134,1361,nievesuperstar,swain,54,166,7,57,115,3090,CN YSKM,renekton,60,25,12,58,214.8,33580,ClearyLove,twistedfate,56,9,7,57,148.6,48516,Fine AD,ashe,48,126,2,100,170.5,5501,LordEnzoX,pyke,58,97,23,61,40.8,33586,MaxCi,yasuo,14,7,41,46,201,95757,JJCC1,jax,59,29,2,50,179.5,27616,MMCC1,nidalee,55,106,1,0,137,24738,Dusty123XD,ziggs,56,148,12,50,174.4,20568,2.4370,2.6160,3.7972,3.0266,6.2075,1.6972,1.6577,1.0670,1.1730,2.5846
loss,Magnu313,yorick,36,55,26,35,184.2,81668,kens,khazix,58,64,15,67,217.2,77088,Waynestaa,aurelionsol,55,190,187,59,250,268236,v1nilove,vayne,48,46,19,58,162.1,413610,Bad Aguena,zyra,52,230,3,33,65.3,19234,YungCheftain,illaoi,49,41,3,67,295.3,41468,SAYHIDOGXD,kindred,67,117,15,73,184.3,12110,Yaddo,veigar,50,155,120,55,177.8,142410,NewL0ve,twitch,49,268,33,64,160.7,0,EricaBart1,lulu,50,121,15,67,29.9,18673,1.0327,5.35133,4.2580,1.8671,2.4563,3.32113,3.09111,2.0876,2.7179,3.5911
win,paintballer9194,garen,43,108,99,44,218.4,1650741,smoop,leesin,48,300,2,50,190,409519,Ooo FoLhA ooO,vladimir,53,51,1,100,157,2546,LilHub14,kaisa,42,101,4,25,262,155143,BlueSnowman,blitzcrank,56,171,1,100,61,2279,Vladentin,irelia,50.72,139.16,0,51.75,0,0,Flybear,taliyah,48,105,4,50,198.8,5693,Isle Win,ezreal,48,201,2,50,198.5,46795,TheHumanSpleen,caitlyn,51,143,18,56,178.4,166599,UsedJockstrap,milio,51,455,10,50,17.4,16033,2.5664,1.6130,3.6770,2.3798,4.0020,2.64,2.8198,1.1665,2.4048,2.7813
win,Need Victim,urgot,57,68,1,100,192,38560,Legendary Camel,ekko,50.72,0,1,100,238,32249,Basels support,yasuo,50.72,0,1,100,219,50258,Just Solid,samira,52,530,183,50,164.2,130392,Coinflip Man,neeko,50,576,52,60,51,68857,KhamulSwiftShot,darius,55,22,1,0,141,14611,godofdeath88,briar,43,54,1,0,137,189,Leonicon,malzahar,56,61,46,61,213.4,40885,Shaun4 Vayn3,caitlyn,64,113,109,64,168.6,151558,DragonFireBlaze,lulu,54,41,61,56,12.9,206149,1.5680,2.6070,1.5670,1.5499,1.6565,1.5020,0.6420,3.4358,3.17105,3.3410
loss,moZaMBiQUere420,teemo,50.72,0,1,0,213,395,Serpent177,amumu,50.72,0,1,0,172,53890,Merthur,heimerdinger,51,114,4,50,154.3,13327,calopeca,missfortune,52,128,27,52,207.2,30233,demizzle,morgana,49,534,6,17,38,50295,Big Papa Z,malphite,61,72,20,65,205.2,27818,Bobby FIey,vi,46,159,123,48,146.8,826390,Minecraft Zombie,xerath,50,68,4,25,190,74141,G0DK1LL3R,samira,50,349,264,50,181.4,707471,Lopoliman,nautilus,52,140,62,57,36.7,225812,0.1400,1.0040,2.8853,2.1977,1.3615,3.7845,1.9250,3.4253,2.24109,3.2718
win,Krspie,akali,53,510,32,47,138.6,31754,bwmnqo,yone,50.72,0,3,67,230,2294,Steven Gaming,vi,48,96,1,0,151,13043,Jorde,kaisa,50,50,3,67,189.3,95936,gomlirobz,pyke,47,111,44,52,28.9,31963,Irlianaore,pantheon,45,20,2,50,196.5,1226,Scythe Goddard,udyr,50.72,139.16,0,51.75,0,0,BurnelliYfSs,lissandra,51,191,5,0,194.2,2333,Toxic Romance,jinx,49,961,98,49,176,1210140,MoonlitAries,nami,53,233,10,30,11.8,231333,2.0571,2.28177,0.8230,1.2623,2.4161,1.7090,2.64,1.6356,2.3957,2.6824
win,golira numba 1,gnar,36,53,1,100,149,3016,WhiteKnight101,nocturne,49,49,15,60,153.1,363511,shawks13,ahri,51,110,4,25,159,225181,Letters to Véra,yasuo,29,17,9,67,191.1,271038,meetmeatthealter,orianna,50,44,23,65,57.3,83738,JErEMy10086,akshan,70,10,1,0,230,6694,VitaMoriendum,leesin,46,37,2,0,184,25447,Izayoi16,pantheon,42,19,2,0,120.5,12342,MrWiggles234,ziggs,40,10,1,0,208,26939,YaBoiiWill,thresh,39,62,11,64,37.5,10183,1.3630,3.2891,4.3338,2.3669,2.9729,2.20160,1.0540,1.1935,3.4050,2.9223
win,Xandyalar,sylas,56,66,10,60,165.4,47120,calmoo,taliyah,49,383,41,49,188.6,37818,nutfeast,sett,42,19,1,100,198,4026,Lenci,jhin,34,64,3,67,243,84794,EL1PS3,leona,62,21,4,50,43,2688,3ge1PPPi,garen,50,177,46,59,216.7,451138,SeraphStryker,nidalee,55,33,26,46,182.2,246904,kumiu,yasuo,48,46,29,52,181.6,55492,bukgang,xayah,46,100,17,35,183.1,39886,Mind Sliver,zyra,60,45,30,63,29.9,100168,2.95117,2.4055,0.8330,5.17110,1.8015,2.2474,2.98142,1.8761,2.0151,3.0242
loss,jackh500,malphite,50.72,139.16,0,51.75,0,0,Korinnn,lillia,50,14,1,0,274,27472,nexusian123,pantheon,54,343,30,60,138.6,20815,Jaydnotbers,ezreal,46,67,6,17,166.8,10340,ItsRhino,karma,63,16,7,71,22.7,286936,Nilgod,quinn,47,100,60,50,174,863235,Camax,rell,58,192,157,59,147.3,501291,I Yoneguni I,yone,38,24,12,25,174.2,897873,Vindanaar,caitlyn,100,6,5,100,194.8,4628,Catitio,milio,42,12,3,67,9.3,7867,2.64,2.2070,2.19108,1.4843,2.7123,1.8170,4.0039,0.9947,5.1378,3.8900
loss,yaroo,gangplank,47,15,8,38,172.8,160151,cypmita,briar,50.72,139.16,0,51.75,0,0,EZnvm,ornn,50.72,139.16,0,51.75,0,0,KOGUSSY,kogmaw,59,32,41,63,180.5,386420,ßüggy,braum,50,66,26,54,33.2,308600,Picochine,ekko,51,51,2,50,166,195755,HanWoo,xinzhao,49,144,6,67,192.5,23493,Remberlie,aurelionsol,50,64,8,38,184,12074,Hideon goth bush,missfortune,50,111,68,62,197.7,56637,seonee,seraphine,54,28,1,100,189,52008,1.8039,2.64,2.64,2.7883,2.8318,2.4090,3.57105,1.5446,2.28105,4.1760
loss,Antl Anti Hero,nasus,49,67,12,58,188.5,7280,Frozen Fish Mars,graves,49,104,2,0,125.5,251301,May Pulls,viktor,55,202,1,0,100,24406,Brownie Bouya,sivir,52,291,220,52,203.6,451716,Squealy McDan,swain,49,61,27,48,47.7,64048,LuckyJ,illaoi,52,165,6,50,162.8,23912,epicenters,kindred,47,133,7,71,144.9,14161,Sornjn,yasuo,49,120,102,47,219.1,2053665,MU Pepehands,missfortune,50,122,10,70,167,73707,DPinner,blitzcrank,51,208,24,63,42,35523,2.0242,2.2945,1.0010,1.9562,1.8743,0.7648,2.2254,1.7470,2.5978,2.9417
loss,Cho Gap,chogath,51,150,150,53,167.5,357937,Guodlaeci,hecarim,50.72,0,2,0,186,159,SchnGodofThunder,akshan,67,6,2,50,204,19136,Lybu,ashe,50,280,141,54,191.5,1192761,BunsOnHigh,galio,70,33,39,69,50.7,171081,dommyt,renekton,47,47,2,50,240.5,4718,qibunn,khazix,48,228,4,75,196,44093,DogFishRising,xerath,51,263,41,54,184.9,71654,CryoRune,kaisa,65,48,25,68,189.4,88183,Topazmine,alistar,65,48,45,62,27.6,63693,2.6875,1.2755,2.0865,2.6362,2.6738,1.2550,3.6958,4.8466,3.0166,3.0520
